date,total,filter,remove,ratio
2021-12-26,23,22,0,0.96
2021-12-28,16,14,0,0.88
2021-12-30,21,19,0,0.9
2022-01-02,18,16,0,0.89
2022-01-08,23,20,0,0.87
2022-01-10,19,18,0,0.95
2022-01-12,21,18,0,0.86
2022-01-14,19,18,0,0.95
2022-01-16,19,17,0,0.89
2022-01-18,29,26,0,0.9
2022-01-20,22,21,0,0.95
2022-01-22,21,20,0,0.95
2022-01-24,24,21,0,0.88
2022-01-26,24,22,0,0.92
2022-01-28,19,17,0,0.89
2022-01-30,19,18,0,0.95
2022-02-02,24,21,0,0.88
2022-02-04,27,24,0,0.89
2022-02-06,26,25,0,0.96
2022-02-08,21,18,0,0.86
2022-02-10,34,30,1,0.88
2022-02-12,24,21,5,0.88
2022-02-14,18,17,0,0.94
2022-02-16,27,24,0,0.89
2022-02-18,25,22,0,0.88
2022-02-20,29,27,0,0.93
2022-02-22,20,19,0,0.95
2022-02-26,17,15,0,0.88
2022-02-28,31,28,0,0.9
2022-03-02,23,21,0,0.91
2022-03-04,17,16,0,0.94
2022-03-06,18,16,0,0.89
2022-03-08,22,19,0,0.86
2022-03-10,31,30,0,0.97
2022-03-12,27,26,0,0.96
2022-03-14,33,29,2,0.88
2022-03-16,20,18,0,0.9
2022-03-18,23,22,1,0.96
2022-03-20,25,24,0,0.96
2022-03-22,17,14,1,0.82
2022-03-24,15,14,3,0.93
2022-03-26,21,19,1,0.9
2022-03-28,20,19,3,0.95
2022-03-30,17,14,3,0.82
2022-04-02,23,22,0,0.96
2022-04-04,48,46,0,0.96
2022-04-06,33,30,0,0.91
2022-04-08,45,42,0,0.93
2022-04-10,37,35,0,0.95
2022-04-12,40,39,0,0.98
2022-04-14,26,23,6,0.88
2022-04-16,29,25,0,0.86
2022-04-18,50,44,0,0.88
2022-04-20,27,25,4,0.93
2022-04-22,54,51,0,0.94
2022-04-24,37,32,0,0.86
2022-04-26,62,55,0,0.89
2022-04-28,39,36,0,0.92
2022-04-30,32,31,4,0.97
2022-05-02,32,31,2,0.97
2022-05-04,49,46,0,0.94
2022-05-06,33,30,5,0.91
2022-05-08,36,32,4,0.89
2022-05-10,31,26,0,0.84
2022-05-12,46,43,0,0.93
2022-05-14,30,29,3,0.97
2022-05-16,30,27,0,0.9
2022-05-18,58,54,0,0.93
2022-05-20,33,30,0,0.91
2022-05-22,40,38,0,0.95
2022-05-24,31,29,0,0.94
2022-05-26,37,34,0,0.92
2022-06-02,39,37,0,0.95
2022-06-04,35,34,0,0.97
2022-06-06,39,35,0,0.9
2022-06-08,36,34,0,0.94
2022-06-10,46,45,1,0.98
2022-06-12,46,43,0,0.93
2022-06-14,47,45,0,0.96
2022-06-16,39,37,3,0.95
2022-06-18,34,30,0,0.88
2022-06-20,28,26,0,0.93
2022-06-22,50,44,0,0.88
2022-06-24,43,42,0,0.98
2022-06-26,41,38,0,0.93
2022-06-28,48,42,0,0.88
2022-06-30,34,29,0,0.85
2022-07-02,36,33,0,0.92
2022-07-04,33,30,1,0.91
2022-07-06,38,34,3,0.89
2022-07-08,38,34,2,0.89
2022-07-10,36,32,0,0.89
2022-07-12,33,29,0,0.88
2022-07-14,24,23,6,0.96
2022-07-16,36,35,0,0.97
2022-07-18,36,33,0,0.92
2022-07-20,42,38,0,0.9
2022-07-22,52,47,0,0.9
2022-07-24,59,53,0,0.9
2022-07-26,37,33,4,0.89
2022-07-28,31,30,0,0.97
2022-07-30,45,42,0,0.93
2022-08-02,43,40,0,0.93
2022-08-04,48,45,0,0.94
2022-08-06,35,30,2,0.86
2022-08-08,48,42,0,0.88
2022-08-10,31,30,0,0.97
2022-08-12,36,31,0,0.86
2022-08-14,38,34,0,0.89
2022-08-16,34,33,0,0.97
2022-08-18,59,53,0,0.9
2022-08-20,39,36,1,0.92
2022-08-22,36,33,0,0.92
2022-08-24,47,45,0,0.96
2022-08-26,46,42,0,0.91
2022-08-28,46,43,0,0.93
2022-08-30,45,41,0,0.91
2022-09-02,54,49,3,0.91
2022-09-04,38,37,0,0.97
2022-09-06,38,35,0,0.92
2022-09-08,40,36,0,0.9
2022-09-10,49,43,0,0.88
2022-09-12,31,28,0,0.9
2022-09-14,34,30,0,0.88
2022-09-16,35,34,0,0.97
2022-09-18,45,41,0,0.91
2022-09-20,41,37,0,0.9
2022-09-22,35,30,3,0.86
2022-09-24,35,33,0,0.94
2022-09-26,38,36,0,0.95
2022-09-28,33,31,0,0.94
2022-09-30,45,41,0,0.91
2022-10-02,45,43,0,0.96
2022-10-04,38,35,3,0.92
2022-10-06,50,44,0,0.88
2022-10-08,36,35,0,0.97
2022-10-10,33,32,0,0.97
